# This file contains the mean and standard deviation of the squared overlap <ψ_alpha=2|φ_alpha>²> of the ground state wavefunction of the generalized Haldane-Shastry model with arbitrary interaction range α with the the ground state of alpha=2 Haldane-Shastry model.
# Here N is the system size, δ is the position disorder strength and α is the interaction range parameter.
# Columns: N, α, δ, mean of squared overlap <ψ_alpha=2|φ_alpha>²>, standard deviation of squared overlap
 
N, α, δ, mean, std_deviation
 
22 0.0 0.0 0.00020049726443816538 0.0
22 0.0001 0.0 0.8636350872938112 0.0
22 0.001 0.0 0.8638793320433581 0.0
22 0.01 0.0 0.8663045301822533 0.0
22 0.1 0.0 0.8888088246732313 0.0
22 0.2 0.0 0.9102188597358845 0.0
22 0.3 0.0 0.9281410538332181 0.0
22 0.4 0.0 0.9429595597191847 0.0
22 0.5 0.0 0.9550874384457759 0.0
22 0.6 0.0 0.964929367684741 0.0
22 0.7 0.0 0.9728587112217008 0.0
22 0.8 0.0 0.9792060519285177 0.0
22 0.9 0.0 0.9842557207460232 0.0
22 1.0 0.0 0.9882472656384305 0.0
22 1.1 0.0 0.9913795654594295 0.0
22 1.2 0.0 0.9938160483692415 0.0
22 1.3 0.0 0.9956900777378351 0.0
22 1.4 0.0 0.9971099947665558 0.0
22 1.5 0.0 0.9981635825338532 0.0
22 1.6 0.0 0.9989218806415855 0.0
22 1.7 0.0 0.9994423695901506 0.0
22 1.8 0.0 0.9997715873141851 0.0
22 1.9 0.0 0.999947256219547 0.0
22 2.0 0.0 1.0 0.0
22 2.1 0.0 0.9999547230650199 0.0
22 2.2 0.0 0.9998317159768363 0.0
22 2.3 0.0 0.9996475402755628 0.0
22 2.4 0.0 0.9994157366687966 0.0
22 2.5 0.0 0.9991473922908984 0.0
22 2.6 0.0 0.9988515957370432 0.0
22 2.7 0.0 0.9985358027976505 0.0
22 2.8 0.0 0.9982061311248052 0.0
22 2.9 0.0 0.9978675982922619 0.0
22 3.0 0.0 0.9975243147050649 0.0
22 Inf 0.0 0.9890952591114888 0.0
20 0.0 0.0 0.000897347426205913 0.0
20 0.0001 0.0 0.8944095242239705 0.0
20 0.001 0.0 0.8945998370945238 0.0
20 0.01 0.0 0.8964880788194768 0.0
