# This file contains the unique energy values and their degeneracies for the Haldane-Shastry model with system size N=36.
# Columns: energy, degeneracy
 
energy, degeneracy
 
-46836.0 1
-46404.0 4
-45996.0 6
-45612.0 8
-45252.0 8
-45156.0 9
-44916.0 8
-44820.0 4
-44772.0 16
-44604.0 8
-44460.0 6
-44412.0 24
-44316.0 8
-44124.0 8
-44076.0 24
-44052.0 8
-43980.0 16
-43812.0 16
-43764.0 24
-43668.0 16
-43620.0 28
-43596.0 8
-43524.0 8
-43476.0 24
-43428.0 4
-43404.0 8
-43332.0 24
-43284.0 40
-43260.0 8
-43236.0 8
-43212.0 24
-43140.0 16
-43116.0 6
-43092.0 8
-43020.0 40
-42972.0 72
-42876.0 32
-42828.0 8
-42804.0 16
-42780.0 30
-42756.0 32
-42732.0 40
-42684.0 40
-42612.0 8
-42588.0 24
-42564.0 32
-42540.0 40
-42468.0 32
-42444.0 56
-42420.0 40
-42396.0 24
-42372.0 16
-42324.0 8
-42300.0 8
-42276.0 36
-42252.0 24
-42228.0 92
-42180.0 48
-42132.0 72
-42108.0 8
-42084.0 41
-42036.0 64
-42012.0 40
-41988.0 48
-41964.0 78
-41940.0 64
-41916.0 32
-41892.0 24
-41844.0 72
-41820.0 64
-41772.0 40
-41748.0 60
-41724.0 56
-41700.0 72
-41676.0 56
-41652.0 32
-41604.0 48
-41580.0 112
-41532.0 40
-41508.0 40
-41484.0 56
-41460.0 40
-41436.0 134
-41388.0 168
-41364.0 32
-41340.0 88
-41316.0 16
-41292.0 80
-41268.0 72
-41244.0 134
-41220.0 92
-41172.0 104
-41148.0 136
-41124.0 124
-41100.0 144
-41076.0 48
-41052.0 16
-41028.0 144
-41004.0 118
-40980.0 56
-40932.0 48
-40908.0 104
-40884.0 176
-40860.0 88
-40836.0 104
-40812.0 40
-40788.0 88
-40764.0 96
-40740.0 180
-40716.0 64
-40692.0 120
-40668.0 56
-40644.0 224
-40620.0 80
-40596.0 288
-40572.0 96
-40548.0 84
-40524.0 88
-40500.0 168
