# This file contains the mean IPR and standard errors for the generalized Haldane-Shastry model with arbitrary interaction range α 
 for various parameters in m=0 for this disordered systems.
# Here N is the system size, hj is the magnetic field strength, δ is the position disorder strength and α is the interaction range parameter.
# Columns: N, hj, δ, α, mean_r_statistic, std_error
 
N, hj, δ, α, -log2(IPR), std_error
 
10 0.0 0.0 0.0 3.2599785892637176 0.0
10 0.0 0.0 0.2 2.949828065550429 0.0
10 0.0 0.0 0.4 2.9512556534190875 0.0
10 0.0 0.0 0.6 3.3326444331741403 0.0
10 0.0 0.0 0.8 3.4213494501181265 0.0
10 0.0 0.0 1.0 3.5496927169783956 0.0
10 0.0 0.0 1.2 3.5740936876877467 0.0
10 0.0 0.0 1.4 3.613073431011482 0.0
10 0.0 0.0 1.6 3.597310125239704 0.0
10 0.0 0.0 1.8 3.577990349013661 0.0
10 0.0 0.0 2.0 3.5992819593962553 0.0
10 0.0 0.0 2.2 3.35251593568243 0.0
10 0.0 0.0 2.4 3.3317062583008417 0.0
10 0.0 0.0 2.6 3.313710452011081 0.0
10 0.0 0.0 2.8 3.2986949650627864 0.0
10 0.0 0.0 3.0 3.4514822043075344 0.0
10 0.0 0.1 0.0 6.384286801382753 8.330741423111154e-17
10 0.0 0.1 0.2 5.380430103869874 0.00022913278110405454
10 0.0 0.1 0.4 5.469603819393427 0.000686290350081364
10 0.0 0.1 0.6 5.811109978926445 0.0016273839189793967
10 0.0 0.1 0.8 6.162333047993655 0.0011015758992072926
10 0.0 0.1 1.0 6.1782732593650955 0.0010611635025422439
10 0.0 0.1 1.2 6.2587903301282015 0.0011081358819180535
10 0.0 0.1 1.4 6.298269723061728 0.0012101801430721623
10 0.0 0.1 1.6 6.193616449318772 0.0007779266507418982
10 0.0 0.1 1.8 6.186245280686104 0.0007037857889657113
10 0.0 0.1 2.0 6.1744968353380925 0.0012262056151908605
10 0.0 0.1 2.2 6.228689613191067 0.000824149658565039
10 0.0 0.1 2.4 6.264679650088752 0.0008802772622452754
10 0.0 0.1 2.6 6.288202358736323 0.00105850045962238
10 0.0 0.1 2.8 6.3092735509485065 0.0011960021148663131
10 0.0 0.1 3.0 6.301103686445645 0.0012286989084670334
10 0.0 0.3 0.0 6.384286801382753 8.330741423111154e-17
10 0.0 0.3 0.2 5.403884388674118 0.0009449402294443285
10 0.0 0.3 0.4 5.493076391797837 0.0013044827215998886
10 0.0 0.3 0.6 5.832681841222427 0.0016644971471736498
10 0.0 0.3 0.8 6.097614176729763 0.001270905980455537
10 0.0 0.3 1.0 6.099561645443065 0.0012604216746104893
10 0.0 0.3 1.2 6.173839734568371 0.0014093456970484008
10 0.0 0.3 1.4 6.2048582169958415 0.0015802696566376768
10 0.0 0.3 1.6 6.192170487825594 0.00180002201964097
10 0.0 0.3 1.8 6.1601548422916315 0.002196111239703382
10 0.0 0.3 2.0 6.137429251155461 0.0026553626102271124
10 0.0 0.3 2.2 6.113931090606579 0.0030822398169763144
10 0.0 0.3 2.4 6.080693650424733 0.0036208427513362553
10 0.0 0.3 2.6 6.059209099534138 0.004477229996465514
10 0.0 0.3 2.8 6.019072128067132 0.005128141533473556
10 0.0 0.3 3.0 5.9851727086335424 0.005628194388598117
10 0.0 0.5 0.0 6.384286801382753 8.330741423111154e-17
10 0.0 0.5 0.2 5.413262495598606 0.0016151988404455955
10 0.0 0.5 0.4 5.511188752827814 0.0018068069051433544
10 0.0 0.5 0.6 5.831436669645627 0.0019755500495514102
10 0.0 0.5 0.8 6.030625499504399 0.0021350730409867686
10 0.0 0.5 1.0 6.067855538639952 0.002482247700719816
10 0.0 0.5 1.2 6.0863264137605 0.003605270623586986
10 0.0 0.5 1.4 6.047575925130656 0.004819727048168421
10 0.0 0.5 1.6 5.991543057054169 0.0058047755969359675
10 0.0 0.5 1.8 5.915921472254724 0.0065302322310107925
10 0.0 0.5 2.0 5.831889558415369 0.007349382062696699
10 0.0 0.5 2.2 5.789409492705304 0.007767902023781307
10 0.0 0.5 2.4 5.738773063428862 0.008011414119195325
10 0.0 0.5 2.6 5.701652517270647 0.008477433131426038
10 0.0 0.5 2.8 5.652316319817413 0.008509079995210523
10 0.0 0.5 3.0 5.59595936258922 0.008973524207728463
10 0.0 0.8 0.0 6.384286801382753 8.330741423111154e-17
10 0.0 0.8 0.2 5.4114243005052245 0.0023791304470118534
10 0.0 0.8 0.4 5.5625027784288035 0.002562163016198911
10 0.0 0.8 0.6 5.769218935294247 0.003533623391668148
10 0.0 0.8 0.8 5.842723700932144 0.005559953525234862
10 0.0 0.8 1.0 5.81707738544896 0.006821074854892447
10 0.0 0.8 1.2 5.776445656708729 0.008025141532825839
10 0.0 0.8 1.4 5.714225277268831 0.00870305990517035
10 0.0 0.8 1.6 5.624909621622059 0.008831472370296422
10 0.0 0.8 1.8 5.560042928232912 0.009143917818139368
10 0.0 0.8 2.0 5.488402748512835 0.009002081593158169
10 0.0 0.8 2.2 5.468566992452925 0.008588567234901472
