# This file contains the mean r-statistics values and standard errors for the generalized Haldane-Shastry model with arbitrary interaction range α 
 for various parameters in m=0 sector to analyse the data collapse as function of effective parameters αδ.
# Here N is the system size, hj is the magnetic field strength, δ is the position disorder strength and α is the interaction range parameter.
# Columns: N, hj, δ, αδ, mean_r_statistic, std_error
 
N, hj, δ, αδ, mean_r_statistic, std_error
 
16 0.1 0.1 0.5 0.5304051258099618 8.440279831588697e-5
16 0.1 0.1 1.0 0.5297349389804896 9.520291449125319e-5
16 0.1 0.1 1.5 0.5069632747059946 0.0007051855381333683
16 0.1 0.1 2.0 0.47446035610115644 0.0008514629002462741
16 0.1 0.1 2.5 0.45334621838837713 0.0007744869611995116
16 0.1 0.1 3.0 0.4423809237955184 0.000689243150120858
16 0.1 0.1 3.5 0.4326322503583519 0.0006204788567714903
16 0.1 0.1 4.0 0.4261588172942963 0.0005692748366213777
16 0.1 0.1 4.5 0.4217497049494296 0.0005709010093543301
16 0.1 0.1 5.0 0.41651191789138 0.0005358592843747563
16 0.1 0.1 5.5 0.41099398693967404 0.00048228133753338616
16 0.1 0.1 6.0 0.4080954694430871 0.00046398650262784505
16 0.1 0.1 6.5 0.4051120944922418 0.0004287435244112393
16 0.1 0.1 7.0 0.4017718137908287 0.0004084030952214168
16 0.1 0.1 7.5 0.3991519598988732 0.00036299875473361204
16 0.1 0.1 8.0 0.39653651660013445 0.0003177414997880847
16 0.1 0.1 8.5 0.3949870650804302 0.0003113779739536144
16 0.1 0.1 9.0 0.3936716904457669 0.00032739449115489985
16 0.1 0.1 9.5 0.39217847326249466 0.00031255722819009685
16 0.1 0.1 10.0 0.39059909949725063 0.00029660891501317126
16 0.1 0.1 10.5 0.38979251126058206 0.0002891562674899993
16 0.1 0.1 11.0 0.3890358705800481 0.00029921620320188874
16 0.1 0.1 11.5 0.38829807688478385 0.00029847353064788804
16 0.1 0.1 12.0 0.38753800686073847 0.0003237113199076326
16 0.1 0.1 12.5 0.3866506776576928 0.00031917280352830243
16 0.1 0.1 13.0 0.3859954686142715 0.00031963636249928025
16 0.1 0.1 13.5 0.3852277796364783 0.00036056628646767433
16 0.1 0.1 14.0 0.3848220202962725 0.0003345714179252475
16 0.1 0.1 14.5 0.3848209329824977 0.00034286602874145637
16 0.1 0.1 15.0 0.3841282822809914 0.00038022234708757536
16 0.1 0.3 0.5 0.5299290137795672 8.523653821616675e-5
16 0.1 0.3 1.0 0.5281157615598548 0.00017664955541439164
16 0.1 0.3 1.5 0.502007983070408 0.0007685281425633623
16 0.1 0.3 2.0 0.4729027104325833 0.0008403435536106606
16 0.1 0.3 2.5 0.4553856666237401 0.0007691583983129945
16 0.1 0.3 3.0 0.44433434553296297 0.0006679354487764132
16 0.1 0.3 3.5 0.43576418006166023 0.0006225152309061906
16 0.1 0.3 4.0 0.4309361511282363 0.0006325743636242804
16 0.1 0.3 4.5 0.42443317323626983 0.0005478948018740815
16 0.1 0.3 5.0 0.4199765826086896 0.0005580758624512114
16 0.1 0.3 5.5 0.4148698738413173 0.0005040019261438216
16 0.1 0.3 6.0 0.40945465788444296 0.000460695017418605
16 0.1 0.3 6.5 0.4067436038767799 0.0004420424006778421
16 0.1 0.3 7.0 0.40399443881565084 0.0004254887760592044
16 0.1 0.3 7.5 0.40084123431681923 0.0003703773394225728
16 0.1 0.3 8.0 0.398515904922562 0.00036551187418386067
16 0.1 0.3 8.5 0.39632871729543157 0.00034672041657901343
