# This file contains the mean r-statistics values and standard errors for the generalized Haldane-Shastry model with arbitrary interaction range α 
 for various parameters in (m,k)=(0,1) for clean systems and m=0 for disordered systems.
# Here N is the system size, hj is the magnetic field strength, δ is the position disorder strength and α is the interaction range parameter.
# Columns: N, hj, δ, α, mean_r_statistic, std_error
 
N, hj, δ, α, mean_r_statistic, std_error
 
22 0.0 0.0 0.01 0.5285699647465607 0.0
22 0.0 0.0 0.05 0.5288159730210127 0.0
22 0.0 0.0 0.1 0.5202569725153207 0.0
22 0.0 0.0 0.0 1.2348481097772643e-14 0.0
22 0.0 0.0 0.2 0.4894169004184075 0.0
22 0.0 0.0 0.4 0.4387129279708115 0.0
22 0.0 0.0 0.6 0.4126508410798472 0.0
22 0.0 0.0 0.8 0.4022442245336346 0.0
22 0.0 0.0 1.0 0.4015388930532342 0.0
22 0.0 0.0 1.2 0.39614300330445457 0.0
22 0.0 0.0 1.4 0.3963866099869282 0.0
22 0.0 0.0 1.6 0.3964191891214932 0.0
22 0.0 0.0 1.8 0.39796529025570865 0.0
22 0.0 0.0 2.0 5.066380670867275e-13 0.0
22 0.0 0.0 2.2 0.3983400156499458 0.0
22 0.0 0.0 2.4 0.396655876205239 0.0
22 0.0 0.0 2.6 0.3980161306313745 0.0
22 0.0 0.0 2.8 0.4000119259210378 0.0
22 0.0 0.0 3.0 0.3980637662198776 0.0
16 0.0 0.0 0.0 2.89552671623851e-16 0.0
16 0.0 0.0 0.2 0.49036084088650167 0.0
16 0.0 0.0 0.4 0.4428260142604276 0.0
16 0.0 0.0 0.6 0.4222624435269942 0.0
16 0.0 0.0 0.8 0.4235856869098595 0.0
16 0.0 0.0 1.0 0.4233409062522524 0.0
16 0.0 0.0 1.2 0.406961067088071 0.0
16 0.0 0.0 1.4 0.40340395098065546 0.0
16 0.0 0.0 1.6 0.40912836134158 0.0
16 0.0 0.0 1.8 0.39957609008909095 0.0
16 0.0 0.0 2.0 3.881813757875759e-15 0.0
16 0.0 0.0 2.2 0.3973896929169245 0.0
16 0.0 0.0 2.4 0.40966261384929975 0.0
16 0.0 0.0 2.6 0.40313216512760813 0.0
16 0.0 0.0 2.8 0.39428916226466937 0.0
16 0.0 0.0 3.0 0.3919388593002523 0.0
16 0.0 0.1 0.01 0.488131914867202 0.00041599149472238973
16 0.0 0.1 0.05 0.49002199478079794 0.00040832799912274374
16 0.0 0.1 0.1 0.4912183988843592 0.0003834842316629931
