# This file contains the mean r-statistics values and standard errors for the spin 1 generalized Haldane-Shastry model with arbitrary interaction range α 
 for various parameters in (m,k)=(0,1) for clean systems and m=0 for disordered systems.
# Here N is the system size, hj is the magnetic field strength, δ is the position disorder strength and α is the interaction range parameter.
# Columns: N, hj, δ, α, mean_r_statistic, std_error
 
N, hj, δ, α, mean_r_statistic, std_error
 
14 0.0 0.0 0.0 1.9374190489618297e-14 0.0
14 0.0 0.0 0.2 0.48577500595425016 0.0
14 0.0 0.0 0.4 0.4330386270385498 0.0
14 0.0 0.0 0.6 0.4098738106052959 0.0
14 0.0 0.0 0.8 0.4000534543040433 0.0
14 0.0 0.0 1.0 0.3975183901546979 0.0
14 0.0 0.0 1.2 0.39387069255142754 0.0
14 0.0 0.0 1.4 0.3893179934775088 0.0
14 0.0 0.0 1.6 0.3898997806795512 0.0
14 0.0 0.0 1.8 0.39223409169755985 0.0
14 0.0 0.0 2.0 0.3907941785041665 0.0
14 0.0 0.0 2.2 0.38822858781895825 0.0
14 0.0 0.0 2.4 0.3908184227763327 0.0
14 0.0 0.0 2.6 0.38861785570427065 0.0
14 0.0 0.0 2.8 0.3932234432283111 0.0
14 0.0 0.0 3.0 0.389970608451445 0.0
10 0.0 0.0 0.0 2.9717087553759243e-15 0.0
10 0.0 0.0 0.2 0.49826384340083274 0.0
10 0.0 0.0 0.4 0.4573484871642625 0.0
10 0.0 0.0 0.6 0.43726551955046566 0.0
10 0.0 0.0 0.8 0.41769506607784934 0.0
10 0.0 0.0 1.0 0.4135721977565346 0.0
10 0.0 0.0 1.2 0.41748998754337613 0.0
10 0.0 0.0 1.4 0.3904975562266707 0.0
10 0.0 0.0 1.6 0.40445743075554796 0.0
10 0.0 0.0 1.8 0.3970705730848822 0.0
10 0.0 0.0 2.0 0.39627652881202124 0.0
10 0.0 0.0 2.2 0.3928699521273043 0.0
10 0.0 0.0 2.4 0.3880408028646484 0.0
10 0.0 0.0 2.6 0.3879733087242854 0.0
10 0.0 0.0 2.8 0.39147015292311743 0.0
10 0.0 0.0 3.0 0.39203771659306846 0.0
10 0.0 0.1 0.0 6.243180231865017e-15 4.930380657631324e-32
10 0.0 0.1 0.2 0.4837953062233724 0.00039671370823149643
10 0.0 0.1 0.4 0.4491354115426995 0.0001704120876106858
10 0.0 0.1 0.6 0.42530600964206255 0.0001239401532918382
10 0.0 0.1 0.8 0.4122867138011586 0.00010648564808090793
10 0.0 0.1 1.0 0.4052374569239526 0.00010804389939975738
10 0.0 0.1 1.2 0.4009335339803861 0.00010659397626561758
10 0.0 0.1 1.4 0.39848641261299744 0.00010794836093114834
10 0.0 0.1 1.6 0.39709075127135585 0.00010589957152626754
10 0.0 0.1 1.8 0.3960600892925159 0.0001069974750080174
10 0.0 0.1 2.0 0.39527940586315496 0.00010773507037051174
10 0.0 0.1 2.2 0.394706229397681 0.00010704629009089556
10 0.0 0.1 2.4 0.39374850223925373 0.0001093317007806355
10 0.0 0.1 2.6 0.3935420122248451 0.00010190609552466169
10 0.0 0.1 2.8 0.39345819519539016 0.00010629209831905486
10 0.0 0.1 3.0 0.3932645493972553 0.0001059631162062931
10 0.0 0.3 0.0 6.243180231865017e-15 4.930380657631324e-32
10 0.0 0.3 0.2 0.5010821469995741 0.00012301104317989238
10 0.0 0.3 0.4 0.4560465809380977 0.00011346873895143232
10 0.0 0.3 0.6 0.4273004464634367 0.00010964057475236384
10 0.0 0.3 0.8 0.4123161730667859 0.00010452851903702668
10 0.0 0.3 1.0 0.40488338325552603 0.00010741659442557162
10 0.0 0.3 1.2 0.40026416318839847 0.00010716364062309266
10 0.0 0.3 1.4 0.3979294178049261 0.00010962237707489437
10 0.0 0.3 1.6 0.3962008503596311 0.00010716238626619042
10 0.0 0.3 1.8 0.3953499346715148 0.00010941427190756117
10 0.0 0.3 2.0 0.39462369648607787 0.00011217351461492778
10 0.0 0.3 2.2 0.39402966304297526 0.00010727541859105547
10 0.0 0.3 2.4 0.3936070887319054 0.00010416894853328964
10 0.0 0.3 2.6 0.3933823720853005 0.00010487221651220466
10 0.0 0.3 2.8 0.3932727347262945 0.0001115593039807284
10 0.0 0.3 3.0 0.3933145170958232 0.00010953783269622277
10 0.0 0.5 0.0 6.243180231865017e-15 4.930380657631324e-32
10 0.0 0.5 0.2 0.5005162194037219 0.00011498748016377307
10 0.0 0.5 0.4 0.45321708794392157 0.0001286627463530661
10 0.0 0.5 0.6 0.42476402731039536 0.00012794638305377827
10 0.0 0.5 0.8 0.41020545707940687 0.00011255236574763177
10 0.0 0.5 1.0 0.4034088943715953 0.00010763199334342919
10 0.0 0.5 1.2 0.39965510760160994 0.00010934433905256225
10 0.0 0.5 1.4 0.39732165199233105 0.0001088545124843625
10 0.0 0.5 1.6 0.3958965857369988 0.00010463554911462678
10 0.0 0.5 1.8 0.3953770786622626 0.00010964175676728132
10 0.0 0.5 2.0 0.39470561640242086 0.00010557623074855197
10 0.0 0.5 2.2 0.3943503050480851 0.0001135241284235705
10 0.0 0.5 2.4 0.3943028584854211 0.00011107878748259629
10 0.0 0.5 2.6 0.3940365608233728 0.00010780792701159613
10 0.0 0.5 2.8 0.39406377149396127 0.00010829239251163691
10 0.0 0.5 3.0 0.39380969113608283 0.00011303969576911418
10 0.0 0.8 0.0 6.243180231865017e-15 4.930380657631324e-32
10 0.0 0.8 0.2 0.4917582349309731 0.0003212473827353914
10 0.0 0.8 0.4 0.44167569482540814 0.0003278317193411818
10 0.0 0.8 0.6 0.41655566256079507 0.0002167326926965792
10 0.0 0.8 0.8 0.4059400003521118 0.0001451947720323375
10 0.0 0.8 1.0 0.4005343408172394 0.0001270403291338735
10 0.0 0.8 1.2 0.3978325705958935 0.00012210271849261826
10 0.0 0.8 1.4 0.3962187773090945 0.00011915339355670012
10 0.0 0.8 1.6 0.395243463234509 0.00011365892795539254
10 0.0 0.8 1.8 0.39452289097728654 0.00011359337981117438
10 0.0 0.8 2.0 0.3943552026838295 0.00012060960628842858
10 0.0 0.8 2.2 0.39379971801270236 0.00011565100969201231
10 0.0 0.8 2.4 0.3937690351624367 0.00011447879713628143
10 0.0 0.8 2.6 0.3933507387444505 0.00011749601805148033
10 0.0 0.8 2.8 0.39346545933632915 0.0001152246321439545
10 0.0 0.8 3.0 0.39325957246469245 0.00011221554609734662
10 0.0 1.0 0.0 6.243180231865017e-15 4.930380657631324e-32
10 0.0 1.0 0.2 0.47323357311529274 0.0007819455018093404
10 0.0 1.0 0.4 0.4308404066729986 0.00047443663732545327
10 0.0 1.0 0.6 0.4113493653124495 0.0002588123943929997
10 0.0 1.0 0.8 0.40274739124924863 0.00017219236889434004
10 0.0 1.0 1.0 0.3987154948220131 0.0001380471864694152
10 0.0 1.0 1.2 0.39666062535058966 0.00013050864273758534
10 0.0 1.0 1.4 0.3954280486876912 0.0001210050819717765
10 0.0 1.0 1.6 0.39464762505363693 0.0001225725390617264
10 0.0 1.0 1.8 0.39427333339630005 0.00011876741875558497
10 0.0 1.0 2.0 0.3939365989096169 0.00011977539722128065
10 0.0 1.0 2.2 0.39361853163796734 0.00012001047956272717
10 0.0 1.0 2.4 0.39363977693677915 0.0001220807182056507
10 0.0 1.0 2.6 0.3937249765010281 0.00011655011386195429
10 0.0 1.0 2.8 0.39367441054815033 0.00012222904988911992
10 0.0 1.0 3.0 0.39383197854799035 0.00012419222315134226
10 0.1 0.0 0.0 0.3862825411075513 0.0001269251661540588
10 0.1 0.0 0.2 0.3837975478152385 0.0012207684736779355
10 0.1 0.0 0.4 0.39001736034277357 0.0009448434308301245
10 0.1 0.0 0.6 0.43286646794266104 0.0007087590713091114
10 0.1 0.0 0.8 0.46780241644568865 0.0005085956421297252
10 0.1 0.0 1.0 0.4901290426874052 0.00038375738085930414
10 0.1 0.0 1.2 0.503778835536024 0.0003442389555700225
10 0.1 0.0 1.4 0.5107896387156146 0.0002836371933013671
10 0.1 0.0 1.6 0.5150692965391162 0.0002389505546964078
10 0.1 0.0 1.8 0.5181400956106071 0.00020994476622919996
10 0.1 0.0 2.0 0.5193026674702197 0.00021916951283746852
10 0.1 0.0 2.2 0.5205796857436584 0.00021585053468497356
10 0.1 0.0 2.4 0.5212481946128165 0.00021307054395397119
10 0.1 0.0 2.6 0.5221637581881666 0.0001987491817178089
10 0.1 0.0 2.8 0.5225964742997466 0.0001865911726115492
10 0.1 0.0 3.0 0.5224601453666725 0.00019749720977672297
10 0.1 0.1 0.0 0.38618658555539304 0.0001349152790562741
10 0.1 0.1 0.2 0.499484217104469 0.0002659544276754987
10 0.1 0.1 0.4 0.4926001111502789 0.00019748511702945252
10 0.1 0.1 0.6 0.5066656044479897 0.00017722032368810533
10 0.1 0.1 0.8 0.5170325614942778 0.00015296961345412363
10 0.1 0.1 1.0 0.5223886632313492 0.00012661841151056518
10 0.1 0.1 1.2 0.5249380237465023 0.00011393203162660178
10 0.1 0.1 1.4 0.5263383507767101 0.00011174108580348962
10 0.1 0.1 1.6 0.5269491699896001 0.00010584432266167078
10 0.1 0.1 1.8 0.5270526939275817 0.00011179037210033822
10 0.1 0.1 2.0 0.5271272367584575 0.00010906795323428764
10 0.1 0.1 2.2 0.5278674854406298 0.00010800644379510468
10 0.1 0.1 2.4 0.5278748561333417 0.00010860822318927198
