# This file contains the mean r-statistics values for the Haldane-Shastry model with system sizes ranging from N=10 to N=50 
 in the (m,k)=(0,1) sector and the full spectrum with and without filtering out the degeneracies in the energy spectrum.
# Columns: N, mean r-statistics in (m,k)=(0,1) sector with raw energies, mean r-statistics in (m,k)=(0,1) sector with unique energies, mean r-statistics in full spectrum with unique energies
 
N, r-stat_(m,k)=(0,1)_raw, r-stat_(m,k)=(0,1)_unique, r-stat_full_spectrum_unique
 
10 0.03571428571428568 0.6095238095238094 0.6035714285714274
12 0.0 0.4815972222222222 0.7290764790764747
14 2.1302285747392728e-17 0.5737745098039208 0.8275192400192335
16 0.0 0.6673833412963811 0.8793765758051315
18 0.004032258064516129 0.7881993678364544 0.9136632172446526
20 0.0 0.9051115890843987 0.9342622671063447
22 0.0 0.9082979294083724 0.9296393685798798
24 6.578043443057533e-17 0.9430794173478212 0.9538228571403023
26 0.0 0.9364462910439595 0.9557190446315377
28 0.0 0.9427590499410854 0.9617209773566301
30 0.0 0.9500075319945315 0.9627267992184215
32 0.0 0.9625264980986588 0.9727442298881345
34 0.0 0.9580058142286695 0.9717221667380274
36 0.0 0.9678541349995726 0.976441034981499
38 0.022133518478408717 0.9702593555365938 0.9775417863839211
40 0.015923475028623815 0.9697374616218963 0.9795958475130498
42 0.014939270742789982 0.9729812731477753 0.982199221425891
44 0.013972884409714907 0.9777490096323705 0.9855524016235722
46 0.013072877601278409 0.9780619352193977 0.9842322630234048
48 0.012212448980502572 0.9802245729495591 0.9858599441872522
50 0.011852071785647738 0.9813143014401761 0.9873892072929656
