# This file contains the mean r-statistics values for the clean generalized Haldane-Shastry modelwith arbitrary interaction range α in the (m,k)=(0,1) sector and the full spectrum for system size N=20 
 with and without filtering out the degeneracies in the energy spectrum.
# Columns: N, α, mean r-statistics in (m,k)=(0,1) sector with raw energies, mean r-statistics in (m,k)=(0,1) sector with unique energies, mean r-statistics in full spectrum with unique energies
 
N, α, r-stat_(m,k)=(0,1)_raw, r-stat_(m,k)=(0,1)_unique, r-stat_full_spectrum_unique,
 
20 0.0 1.1610175420916712e-16 0.7713789682539682 0.7856701940035273
20 0.2 0.4870399749944821 0.4870399749944821 0.3871697737558877
20 0.4 0.44161124150246456 0.44161124150246456 0.38659839822463193
20 0.6 0.4151297639636885 0.4151297639636885 0.3862027782508073
20 0.8 0.4098040099604749 0.4098040099604749 0.38728850698054934
20 1.0 0.4107109778072006 0.4107109778072006 0.3858175419023557
20 1.2 0.3972406409275561 0.3972406409275561 0.38709896088017065
20 1.4 0.4043599285737954 0.4043599285737954 0.3868556520372413
20 1.6 0.4035586708411001 0.4035586708411001 0.3848522488239534
20 1.8 0.39824942342320485 0.39824942342320485 0.3804186684972413
20 2.0 2.6446441468931324e-15 0.9051115890844028 0.9360098000009737
20 2.2 0.404369765091099 0.404369765091099 0.3768446221759448
20 2.4 0.3987744089072002 0.3987744089072002 0.3798498010591411
20 2.6 0.39544511744294975 0.39544511744294975 0.3812132894033438
20 2.8 0.3942867277957101 0.3942867277957101 0.38205550985713227
20 3.0 0.392475367713988 0.392475367713988 0.38072661113468653
